UniqueFireIdentifier,IncidentName,FireDiscoveryDateTime,FireCause,DailyAcres,EstimatedCostToDate,FireMgmtComplexity,FireToDate,POOCounty,POOState,POOLandownerKind,IncidentTypeCategory,PredominantFuelGroup,FireDiscoveryYear,FireDiscoveryMonth,key,Residences Threatened,Residences Destroyed,Other Structures Threatened,Other Structures Destroyed,Number Injuries,Number Fatalities,Final Fire Acre Quantity
2020-TXTXS-200317,Park,2020-07-21 22:37:08+00:00,Human,512.0,1.0,Type 5 Incident,2020/07/22 12:00:00+00,Shackelford,US-TX,Private,WF,,2020,7,2020-07-21TXSHACKELFORD,0.0,0.0,0.0,0.0,0.0,0.0,512.0
2016-FLFLS-2016120122,Quincy,2016-03-09 19:30:00+00:00,Human,45.0,0.0,Type 5 Incident,2016/03/18 12:59:59+00,Brevard,US-FL,,WF,,2016,3,2016-03-09FLBREVARD,0.0,0.0,0.0,0.0,0.0,0.0,45.0
2014-LASBR-000015,MALLARD FIRE,2014-08-18 23:00:00+00:00,Natural,1062.0,2000.0,,,Cameron,US-LA,Federal,WF,,2014,8,2014-08-18LACAMERON,,,,,,,
2018-TXTXS-000298,Arrington Ranch,2018-03-23 16:34:59+00:00,Human,400.0,1.0,Type 5 Incident,2018/03/24 12:59:59+00,Carson,US-TX,,WF,,2018,3,2018-03-23TXCARSON,0.0,0.0,0.0,0.0,0.0,0.0,2964.0
2016-CAKRN-032270,RANGE,2016-08-26 17:29:59+00:00,Undetermined,516.0,1450000.0,Type 3 Incident,2016/08/28 12:59:59+00,Kern,US-CA,,WF,,2016,8,2016-08-26CAKERN,0.0,0.0,0.0,0.0,0.0,0.0,600.04
2020-NVECFX-010145,Cedar,2020-07-19 23:00:00+00:00,Natural,5985.9,3900000.0,Type 4 Incident,2020/08/03 01:30:00+00,Elko,US-NV,Private,WF,Brush,2020,7,2020-07-19NVELKO,0.0,0.0,0.0,0.0,0.0,0.0,5986.9
2016-NMN4S-004024,Corazon Peak,2016-07-22 18:59:59+00:00,Natural,1300.0,5000.0,Type 4 Incident,2016/07/24 12:00:00+00,San Miguel,US-NM,,WF,,2016,7,2016-07-22NMSAN MIGUEL,0.0,0.0,0.0,0.0,0.0,0.0,1301.5
2017-NVWID-020138,Barrett Springs,2017-07-09 03:11:00+00:00,Natural,3295.82,500000.0,Type 4 Incident,2017/07/10 01:30:00+00,Humboldt,US-NV,Federal,WF,,2017,7,2017-07-09NVHUMBOLDT,0.0,0.0,0.0,0.0,0.0,0.0,55.38
2016-AKUYD-000303,False Alarm 9,2016-06-25 20:21:58+00:00,Natural,0.1,0.0,,,Yukon-Koyukuk,US-AK,Federal,WF,,2016,6,2016-06-25AKYUKON-KOYUKUK,,,,,,,
2016-ALALF-160511,Turkey Day,2016-11-24 13:01:49+00:00,Human,22.0,50000.0,Type 4 Incident,2016/12/06 12:30:00+00,Cleburne,US-AL,Federal,WF,,2016,11,2016-11-24ALCLEBURNE,4.0,1.0,4.0,0.0,0.0,0.0,2.0
